,factscore,rev-factscore,r1,r2,rl,rlsum,n_facts
atwt-01-18-05,0.4444444444444444,0.4642857142857143,47.781569965870304,12.086659064994299,17.29237770193402,43.91353811149033,63.0
atwt-01-09-06,0.35384615384615387,0.28846153846153844,43.56060606060606,14.82889733840304,20.833333333333336,43.18181818181818,65.0
bb-01-05-07,0.4880952380952381,0.3880597014925373,38.32335329341317,8.016032064128256,18.36327345309381,37.5249500998004,84.0
bb-05-03-06,0.47191011235955055,0.43478260869565216,46.710526315789465,12.541254125412543,19.736842105263154,45.39473684210527,89.0
oltl-02-05-09,0.546875,0.43243243243243246,37.254901960784316,8.661417322834646,18.03921568627451,35.68627450980392,64.0
oltl-01-08-09,0.2318840579710145,0.7142857142857143,34.20074349442378,8.582089552238804,16.728624535315987,32.342007434944236,69.0
bb-05-08-06,0.5324675324675324,0.7446808510638298,53.43749999999999,17.241379310344826,20.9375,52.49999999999999,77.0
atwt-01-21-05,0.5,0.2857142857142857,38.33017077798861,9.904761904761903,18.975332068311197,36.43263757115749,64.0
gl-01-05-05,0.4507042253521127,0.5428571428571428,48.80083420229406,15.882967607105538,20.229405630865486,47.34098018769552,71.0
oltl-07-21-11,0.30864197530864196,0.2894736842105263,37.573385518590996,8.25147347740668,16.829745596868886,34.833659491193735,81.0
atwt-05-20-04,0.42028985507246375,0.43478260869565216,47.73109243697479,16.188870151770658,19.495798319327733,43.69747899159664,69.0
bb-01-04-07,0.3333333333333333,0.6031746031746031,55.587392550143264,15.804597701149422,19.770773638968482,54.15472779369627,60.0
bb-05-22-06,0.3283582089552239,0.49019607843137253,46.187845303867405,16.611295681063122,20.773480662983424,45.966850828729285,67.0
oltl-06-15-07,0.2903225806451613,0.5121951219512195,44.24460431654676,14.079422382671478,19.424460431654676,41.36690647482014,62.0
pc-02-26-03,0.7611940298507462,0.5851063829787234,56.45933014354069,17.745803357314145,21.291866028708135,55.98086124401913,67.0
atwt-01-21-09,0.4444444444444444,0.6,51.26262626262626,12.658227848101266,21.464646464646464,48.73737373737374,54.0
pc-04-07-03,0.3181818181818182,0.6470588235294118,42.003853564547214,10.444874274661508,16.570327552986512,40.46242774566474,66.0
gl-03-03-05,0.6197183098591549,0.75,48.97959183673469,13.642564802182811,20.68027210884354,48.435374149659864,71.0
gl-09-06-06,0.2786885245901639,0.5348837209302325,44.20289855072463,13.454545454545455,20.652173913043477,43.11594202898551,61.0
bb-06-06-06,0.3181818181818182,0.5185185185185185,52.71828665568369,15.206611570247933,22.73476112026359,51.40032948929159,66.0
oltl-02-03-09,0.417910447761194,0.5714285714285714,44.48462929475588,10.163339382940109,18.083182640144667,44.12296564195298,67.0
oltl-06-02-09,0.45614035087719296,0.5862068965517241,41.05691056910569,11.020408163265307,16.666666666666664,39.83739837398373,57.0
bb-06-14-06,0.46875,0.42857142857142855,56.94635488308115,20.689655172413797,22.283356258596974,55.02063273727648,64.0
oltl-09-09-09,0.23529411764705882,0.3064516129032258,43.017656500802566,10.950080515297905,16.69341894060995,42.69662921348314,68.0
pc-01-30-03,0.36231884057971014,0.5714285714285714,35.82766439909297,9.567198177676538,17.687074829931976,34.01360544217687,69.0
oltl-06-19-09,0.20634920634920634,0.8823529411764706,31.809145129224653,8.383233532934133,17.09741550695825,30.218687872763418,63.0
atwt-07-25-06,0.375,0.6086956521739131,47.91666666666667,16.027874564459932,21.180555555555557,45.83333333333333,72.0
atwt-05-16-06,0.3194444444444444,0.49295774647887325,50.27027027027027,11.924119241192411,18.64864864864865,47.02702702702703,72.0
oltl-06-29-09,0.3150684931506849,0.4,32.475247524752476,8.747514910536779,15.841584158415841,30.89108910891089,73.0
gl-02-24-05,0.36619718309859156,0.4827586206896552,54.57025920873123,16.142270861833104,19.37244201909959,53.75170532060029,71.0
